"","distribution","data"
"89","normal",-0.209200078082493
"90","normal",0.293300389500621
"91","normal",-0.24825230601791
"92","normal",0.0610212895782218
"93","normal",-0.308947274313517
"94","normal",0.0945215144100514
"95","normal",0.0306298695096698
"96","normal",0.228522498211225
"97","normal",0.0685076421670058
"98","normal",-0.0570578945345001
"99","normal",-0.77644433961122
"100","normal",-0.0764958243114734
"101","normal",0.0170714171971729
"102","normal",-0.0874677950974992
"103","normal",0.152606956051721
"104","normal",0.291636200950145
"105","normal",-0.0883256654629869
"106","normal",0.299589824537385
"107","normal",0.181729988386528
"108","normal",0.238023924359817
"109","normal",-0.248797185109098
"110","normal",0.901208248238694
"111","normal",0.0580820172749012
"112","skewed",-0.0916
"113","skewed",0.27
"114","skewed",1.0656
"115","skewed",-0.1579
"116","skewed",0.5309
"117","skewed",0.0966
"118","skewed",0.5326
"119","skewed",0.6554
"120","skewed",-0.1718
"121","skewed",-0.2257
"122","skewed",-0.2567
"123","skewed",-0.0712
"124","skewed",0.8362
"125","skewed",0.0462
"126","skewed",0.0475
"127","skewed",0.1879
"128","skewed",0.0347
"129","skewed",-0.1793
"130","skewed",0.2214
"131","skewed",-0.2272
"132","skewed",0.453
"133","skewed",0.005
"134","skewed",0.0591
"135","skewed",-0.0383
"136","skewed",-0.0982
"137","skewed",-0.3008
"138","skewed",0.8783
"139","skewed",-0.0208
"140","skewed",0.0739
"141","skewed",0.2757
"142","skewed",-0.1317
"143","skewed",0.0062
"144","skewed",-0.007
"145","skewed",0.2839
"146","skewed",0.0636
"147","skewed",0.0977
"148","skewed",-0.1
"149","skewed",-0.0775
"150","skewed",0.0468
"151","skewed",0.3038
"152","skewed",0.1613
"153","skewed",-0.035
"154","skewed",-0.07
"155","skewed",-0.0048
"156","skewed",-0.0285
"157","skewed",0.2248
"158","skewed",-0.1221
"159","skewed",-0.1265
"160","skewed",-0.02
"161","skewed",-0.1661
"162","skewed",-0.1702
"163","skewed",0
"164","skewed",0.0233
"165","skewed",0.0107
"166","skewed",-0.2453
"167","skewed",-0.3255
"168","skewed",-0.1574
"169","skewed",-0.1639
"170","skewed",-0.3565
"171","skewed",-0.0289
"172","skewed",0.6695
"173","skewed",0.4019
"174","skewed",-0.1071
"175","skewed",-0.1145
"176","skewed",0.0341
"177","skewed",0.1207
"178","skewed",0.4693
"179","skewed",-0.0312
"180","skewed",0.0473
"181","skewed",0.0044
"182","skewed",-0.3699
"183","skewed",0.3679
"184","skewed",-0.0402
"185","skewed",-0.2461
"186","skewed",0.3889
"187","skewed",-0.2052
"188","skewed",-0.1699
"189","skewed",-0.0464
"190","skewed",0.1295
"191","skewed",-0.0424
"192","skewed",0.2113
"193","skewed",0.505
"194","skewed",-0.0044
"195","skewed",-0.2773
"196","skewed",0.0971
"197","skewed",0.2628
"198","skewed",0.1942
"199","skewed",0.1752
"200","skewed",-0.2852
"201","skewed",-0.1965
"202","skewed",0.3142
"203","skewed",-0.103
"204","skewed",0.0226
"205","skewed",-0.2497
"206","skewed",0.7403
"207","skewed",0.0645
"208","skewed",-0.1357
"209","skewed",-0.2828
"210","skewed",0.1715
"211","skewed",-0.0299
"212","skewed",-0.2315
"213","skewed",-0.1696
"214","skewed",-0.0072
"215","skewed",0.2336
"216","skewed",-0.0233
"217","skewed",-0.1954
"218","skewed",-0.2649
"219","skewed",-0.11
"220","skewed",0.0887
"221","skewed",-0.2347
"222","skewed",-0.0397
"223","bimodal",0.1739
"224","bimodal",0.1789
"225","bimodal",-0.5668
"226","bimodal",0.069
"227","bimodal",0.0768
"228","bimodal",-0.2303
"229","bimodal",-0.3581
"230","bimodal",0.1533
"231","bimodal",-0.0974
"232","bimodal",0.3825
"233","bimodal",-0.2281
"234","bimodal",0.1288
"235","bimodal",-0.1932
"236","bimodal",-0.0341
"237","bimodal",0.402
"238","bimodal",-0.3866
"239","bimodal",0.3246
"240","bimodal",0.2435
"241","bimodal",-0.3968
"242","bimodal",0.2363
"243","bimodal",-0.3725
"244","bimodal",0.2851
"245","bimodal",0.2588
"246","bimodal",-0.2484
"247","bimodal",0.3658
"248","bimodal",0.2468
"249","bimodal",0.1458
"250","bimodal",-0.2382
"251","bimodal",0.2889
"252","bimodal",-0.1673
"253","bimodal",0.2317
"254","bimodal",0.3026
"255","bimodal",-0.3372
"256","bimodal",0.0086
"257","bimodal",-0.3207
"258","bimodal",-0.4003
"259","bimodal",0.0375
"260","bimodal",-0.2727
"261","bimodal",-0.4634
"262","bimodal",0.0328
"263","bimodal",0.2983
"264","bimodal",0.3614
"265","bimodal",-0.2636
"266","bimodal",0.2106
"267","bimodal",-0.5196
"268","bimodal",0.2028
"269","bimodal",0.3251
"270","bimodal",-0.1403
"271","bimodal",0.2847
"272","bimodal",0.2567
"273","bimodal",0.229
"274","bimodal",0.1143
"275","bimodal",-0.2912
"276","bimodal",0.1095
"277","bimodal",0.357
"278","bimodal",0.3216
"279","bimodal",-0.4152
"280","bimodal",-0.2291
"281","bimodal",0.317
"282","bimodal",-0.21
"283","bimodal",0.1336
"284","bimodal",-0.3674
"285","bimodal",0.384
"286","bimodal",-0.3812
"287","bimodal",0.1993
"288","bimodal",0.2178
"289","bimodal",0.079
"290","bimodal",0.1847
"291","bimodal",-0.4529
"292","bimodal",-0.3011
"293","bimodal",0.3501
"294","bimodal",0.2689
"295","bimodal",-0.4212
"296","bimodal",0.3676
"297","bimodal",0.3145
"298","bimodal",0.2291
"299","bimodal",0.2083
"300","bimodal",0.178
"301","bimodal",0.3267
"302","bimodal",0.2955
"303","bimodal",0.1509
"304","bimodal",0.2686
"305","bimodal",0.0075
"306","bimodal",0.3673
"307","bimodal",-0.3008
"308","bimodal",-0.349
"309","bimodal",-0.3226
"310","bimodal",-0.1668
"311","bimodal",-0.2841
"312","bimodal",0.1747
"313","bimodal",0.2939
"314","bimodal",0.1418
"315","bimodal",0.1112
"316","bimodal",0.3493
"317","bimodal",0.1053
"318","bimodal",-0.0971
"319","bimodal",0.1559
"320","bimodal",0.346
"321","bimodal",-0.0026
"322","bimodal",0.2009
"323","bimodal",0.0166
"324","bimodal",0.2703
"325","bimodal",0.1891
"326","bimodal",0.0468
"327","bimodal",-0.0264
"328","bimodal",0.2283
"329","bimodal",-0.2944
"330","bimodal",0.4
"331","bimodal",0.3429
"332","bimodal",0.1318
"333","bimodal",-0.0807
"334","outlier",-0.7248
"335","outlier",-0.6478
"336","outlier",-0.6021
"337","outlier",-0.5882
"338","outlier",-0.5141
"339","outlier",-0.5007
"340","outlier",-0.4932
"341","outlier",-0.4912
"342","outlier",-0.4674
"343","outlier",-0.45
"344","outlier",-0.3801
"345","outlier",-0.1921
"346","outlier",-0.1901
"347","outlier",-0.1893
"348","outlier",-0.1556
"349","outlier",-0.1487
"350","outlier",-0.146
"351","outlier",-0.1429
"352","outlier",-0.1209
"353","outlier",-0.0999
"354","outlier",-0.0945
"355","outlier",-0.0833
"356","outlier",-0.0739
"357","outlier",-0.0682
"358","outlier",-0.0659
"359","outlier",-0.051
"360","outlier",-0.0435
"361","outlier",-0.0376
"362","outlier",-0.0358
"363","outlier",-0.034
"364","outlier",-0.0281
"365","outlier",-0.0167
"366","outlier",-0.0102
"367","outlier",-0.0092
"368","outlier",-0.0078
"369","outlier",-0.004
"370","outlier",0.0022
"371","outlier",0.0075
"372","outlier",0.008
"373","outlier",0.01
"374","outlier",0.0128
"375","outlier",0.0213
"376","outlier",0.0217
"377","outlier",0.0239
"378","outlier",0.0247
"379","outlier",0.0284
"380","outlier",0.0302
"381","outlier",0.0359
"382","outlier",0.038
"383","outlier",0.0384
"384","outlier",0.0401
"385","outlier",0.0423
"386","outlier",0.0472
"387","outlier",0.0503
"388","outlier",0.0521
"389","outlier",0.0522
"390","outlier",0.0555
"391","outlier",0.0653
"392","outlier",0.0655
"393","outlier",0.0661
"394","outlier",0.0688
"395","outlier",0.0696
"396","outlier",0.0703
"397","outlier",0.073
"398","outlier",0.0751
"399","outlier",0.0756
"400","outlier",0.076
"401","outlier",0.0784
"402","outlier",0.0785
"403","outlier",0.0811
"404","outlier",0.0855
"405","outlier",0.0959
"406","outlier",0.0965
"407","outlier",0.0998
"408","outlier",0.1036
"409","outlier",0.1057
"410","outlier",0.1086
"411","outlier",0.1117
"412","outlier",0.1139
"413","outlier",0.1155
"414","outlier",0.1208
"415","outlier",0.1242
"416","outlier",0.1267
"417","outlier",0.1299
"418","outlier",0.13
"419","outlier",0.1326
"420","outlier",0.1417
"421","outlier",0.1435
"422","outlier",0.1473
"423","outlier",0.1618
"424","outlier",0.1662
"425","outlier",0.1709
"426","outlier",0.185
"427","outlier",0.1882
"428","outlier",0.1943
"429","outlier",0.1999
"430","outlier",0.2155
"431","outlier",0.2161
"432","outlier",0.3011
"433","outlier",0.3205
"434","outlier",0.4578
"435","outlier",0.4628
"436","outlier",0.4831
"437","outlier",0.5128
"438","outlier",0.5488
"439","outlier",0.5557
"440","outlier",0.5965
"441","outlier",0.6887
"442","outlier",0.7043
"443","outlier",0.7474
"444","outlier",0.8472
