"","factorM","factorG","dependentVariable"
"65","A","control",0.625672679111759
"66","A","control",0.718879229951434
"67","A","control",0.519504137110896
"68","A","control",0.846555486156289
"69","A","control",0.71532533382119
"70","A","control",0.917261167036215
"71","A","control",0.747550952889966
"72","A","control",0.629005356907818
"73","A","control",0.761072635348905
"74","A","control",0.606590236835575
"75","A","control",0.57463665997609
"76","A","control",0.729144623551746
"77","A","control",0.655670812678157
"78","A","control",0.700110535163162
"79","A","control",0.707434132415166
"80","A","control",0.641047905381193
"81","B","experimental",0.39313312671815
"82","B","experimental",0.436482138487617
"83","B","experimental",0.56780869965732
"84","B","experimental",0.297643319957024
"85","B","experimental",0.509394618762842
"86","B","experimental",0.483295037121352
"87","B","experimental",0.556309983727636
"88","B","experimental",0.41958160763657
"89","B","experimental",0.487001880991629
"90","B","experimental",0.476709879077223
"91","B","experimental",0.395747996900835
"92","B","experimental",0.570786780598317
"93","B","experimental",0.566040261569495
"94","B","experimental",0.5200213649515
"95","B","experimental",0.608683345454085
"96","B","experimental",0.50584864255653
"97","B","experimental",0.322340779154196
"98","B","experimental",0.392673458576311
"99","B","experimental",0.327538738510164
"100","B","experimental",0.402659936356069
"101","B","experimental",0.387963332277588
"102","B","experimental",0.454211587314424
"103","B","experimental",0.358907835144755
"104","B","experimental",0.465802877240408
"105","B","experimental",0.384541535608118
"106","B","experimental",0.626728726937265
"107","B","experimental",0.521670747601721
"108","B","experimental",0.541017422949523
"109","B","experimental",0.488418535782634
"110","B","experimental",0.618217608051942
"111","B","experimental",0.386426354605102
"112","B","experimental",0.403835526963943
"113","B","experimental",0.593228223854166
"114","B","experimental",0.384930364668963
"115","B","experimental",0.429261925639803
"116","B","experimental",0.410719207055802
"117","B","experimental",0.418000713145149
"118","B","experimental",0.422088669702344
"119","B","experimental",0.499418833126783
"120","B","experimental",0.432266951773039
"121","B","control",0.399404253788574
"122","B","control",0.584303882517041
"123","B","control",0.428542059145313
"124","B","control",0.432044346995661
"125","B","control",0.439980925878644
"126","B","control",0.521266630705141
"127","B","control",0.442643559587367
"128","B","control",0.446236582853295
"129","B","control",0.381833952124434
"130","B","control",0.417572972775368
"131","B","control",0.456016044043452
"132","B","control",0.391110551374034
"133","B","control",0.503149619263257
"134","B","control",0.298160591821321
"135","B","control",0.480655786078977
"136","B","control",0.296355017646241
"137","B","control",0.419902387316339
"138","B","control",0.397172009555499
"139","B","control",0.3847905219319
"140","B","control",0.444310322215261
"141","B","control",0.258564057431999
"142","B","control",0.567658331201856
"143","B","control",0.2835027563788
"144","B","control",0.403646959852761
"145","B","control",0.338407989495715
"146","B","control",0.374918099880655
"147","B","control",0.658716654562835
"148","B","control",0.451739561969325
"149","B","control",0.321369946956567
"150","B","control",0.285939446558142
"151","B","control",0.495018710127266
"152","B","control",0.448144016728536
"153","B","control",0.418193162545616
"154","B","control",0.35706378525463
"155","B","control",0.301253968985852
"156","B","control",0.342480770338432
"157","B","control",0.550002880371391
"158","B","control",0.387873330520318
"159","B","control",0.311557315261551
"160","B","control",0.636929062242358
"161","C","experimental",0.742510037737245
"162","C","experimental",0.676135289908697
"163","C","experimental",0.805848304870902
"164","C","experimental",0.788642265137494
"165","C","experimental",0.638075695176885
"166","C","experimental",0.920610246454047
"167","C","experimental",0.674497296985898
"168","C","experimental",0.557550534978719
"169","C","experimental",0.685560039804578
"170","C","experimental",0.720753833923234
"171","C","experimental",0.930797839905936
"172","C","experimental",0.710580236789371
"173","C","experimental",0.745699880542341
"174","C","experimental",0.692284706464347
"175","C","experimental",0.666599915763346
"176","C","experimental",0.696527397168872
"177","C","experimental",0.778763960563016
"178","C","experimental",0.907524500865228
"179","C","experimental",0.802739243876377
"180","C","experimental",0.82079083983867
"181","C","experimental",0.576867657844196
"182","C","experimental",0.798389557005338
"183","C","experimental",0.721992480366065
"184","C","experimental",0.553274997090776
"185","C","experimental",0.752102274264814
"186","C","experimental",0.684124539528398
"187","C","experimental",0.84645873119698
"188","C","experimental",0.623391800039533
"189","C","experimental",0.656978824607145
"190","C","experimental",0.607389050262256
"191","C","experimental",0.682289603856346
"192","C","experimental",0.740201177948634
"193","C","experimental",0.626825182688039
"194","C","experimental",0.783037316798167
"195","C","experimental",0.579191721369553
"196","C","experimental",0.595201558719226
"197","C","experimental",0.844115770684428
"198","C","experimental",0.598415253469535
"199","C","experimental",0.741197471231752
"200","C","experimental",0.661892394889108
"201","C","control",0.490940183965093
"202","C","control",0.618887328620405
"203","C","control",0.608658843344197
"204","C","control",0.416909219931723
"205","C","control",0.221476446470753
"206","C","control",0.699766158983416
"207","C","control",0.516706616676549
"208","C","control",0.50413273359637
"209","C","control",0.448660047685409
"210","C","control",0.501010842295293
"211","C","control",0.433562416823033
"212","C","control",0.492069464325451
"213","C","control",0.409975325602236
"214","C","control",0.312979212245254
"215","C","control",0.548783826745488
"216","C","control",0.601974502549955
"217","C","control",0.419125943077439
"218","C","control",0.324671024439231
"219","C","control",0.514224130567782
"220","C","control",0.445529086310602
"221","C","control",0.276678159317516
"222","C","control",0.450213185968027
"223","C","control",0.386969966607185
"224","C","control",0.41590314201396
"225","C","control",0.334342763736415
"226","C","control",0.630314190791747
"227","C","control",0.416886796360878
"228","C","control",0.289448658774692
"229","C","control",0.469719343873948
"230","C","control",0.476317564640547
"231","C","control",0.351417329959071
"232","C","control",0.161107932832045
"233","C","control",0.385951829743489
"234","C","control",0.507050763592048
"235","C","control",0.444027672395739
"236","C","control",0.440182125599477
"237","C","control",0.506082072862012
"238","C","control",0.331354136142053
"239","C","control",0.559677704427424
"240","C","control",0.449465597172183
